Malaysia	Kuala Lumpur	Asia	330803	32365998
Taiwan	Taipei	Asia	36193	23503349
Tajikistan	Dushanbe	Asia	143100	9537642
South Korea	Seoul	Asia	100210	51780579
Kazakhstan	Astana	Asia	2724900	18754440
Lebanon	Beirut	Asia	10452	6825442
Kuwait	Kuwait City	Asia	17818	4270563
Oman	Muscat	Asia	309500	5106622
Brunei	Bandar Seri Begawan	Asia	5765	437483
Laos	Vientiane	Asia	236800	7275556
United Arab Emirates	Abu Dhabi	Asia	83600	9890400
Pakistan	Islamabad	Asia	881912	220892331
Armenia	Yerevan	Asia	29743	2963234
Georgia	Tbilisi	Asia	69700	3714000
Japan	Tokyo	Asia	377930	125836021
Saudi Arabia	Riyadh	Asia	2149690	34813867
Yemen	Sana'a	Asia	527968	29825968
Bahrain	Manama	Asia	765	1701583
Iran	Tehran	Asia	1648195	83992953
Palestine	Ramallah	Asia	6220	4803269
India	New Delhi	Asia	3287590	1380004385
Myanmar	Naypyidaw	Asia	676578	54409794
Syria	Damascus	Asia	185180	17500657
Singapore	Singapore	Asia	710	5685807
Bhutan	Thimphu	Asia	38394	771612
Nepal	Kathmandu	Asia	147181	29136808
Jordan	Amman	Asia	89342	10203140
Hong Kong	City of Victoria	Asia	1104	7500700
Bangladesh	Dhaka	Asia	147570	164689383
Afghanistan	Kabul	Asia	652230	40218234
Kyrgyzstan	Bishkek	Asia	199951	6591600
Maldives	Malé	Asia	300	540542
Timor-Leste	Dili	Asia	14874	1318442
Iraq	Baghdad	Asia	438317	40222503
Philippines	Manila	Asia	342353	109581085
Qatar	Doha	Asia	11586	2881060
Indonesia	Jakarta	Asia	1904569	273523621
Cambodia	Phnom Penh	Asia	181035	16718971
Macau		Asia	30	649342
Turkey	Ankara	Asia	783562	84339067
Uzbekistan	Tashkent	Asia	447400	34232050
North Korea	Pyongyang	Asia	120538	25778815
Thailand	Bangkok	Asia	513120	69799978
Sri Lanka	Sri Jayawardenepura Kotte	Asia	65610	21919000
Mongolia	Ulan Bator	Asia	1564110	3278292
Vietnam	Hanoi	Asia	331212	97338583
Turkmenistan	Ashgabat	Asia	488100	6031187
Israel	Jerusalem	Asia	20770	9216900
Azerbaijan	Baku	Asia	86600	10110116
China	Beijing	Asia	9706961	1402112000
